AC System Output (W),Ambient Temperature (C),Beam Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),Day,Diffuse Irradiance (W/m^2),Hour,Month,Plane of Array Irradiance (W/m^2),Size,Wind Speed (m/s)
0.0,-5,0,-5.0,0.0,1,0,0,1,0.0,1,2
0.0,-5,0,-5.0,0.0,1,0,1,1,0.0,1,2
0.0,-5,0,-5.0,0.0,1,0,2,1,0.0,1,1
0.0,-5,0,-5.0,0.0,1,0,3,1,0.0,1,1
0.0,-5,0,-5.0,0.0,1,0,4,1,0.0,1,1
0.0,-5,0,-5.0,0.0,1,0,5,1,0.0,1,1
0.0,-5,0,-5.0,0.0,1,0,6,1,0.0,1,1
0.0,-5,0,-5.0,0.0,1,0,7,1,0.0,1,1
71.949,-4,260,-3.489,78.579,1,14,8,1,95.358,1,1
92.095,-3,93,-1.325,99.163,1,56,9,1,106.275,1,1
377.587,-2,705,12.789,392.616,1,51,10,1,448.915,1,1
341.281,-1,477,14.552,355.114,1,85,11,1,402.009,1,1
458.141,0,763,20.544,476.016,1,59,12,1,554.51,1,1
410.444,0,723,19.622,426.602,1,57,13,1,498.146,1,1
153.605,0,167,7.788,162.11,1,77,14,1,179.45,1,1
156.976,-1,411,4.891,165.565,1,32,15,1,195.619,1,1
0.0,-1,0,-1.0,0.0,1,0,16,1,0.0,1,1
0.0,-1,0,-1.0,0.0,1,0,17,1,0.0,1,1
0.0,-1,0,-1.0,0.0,1,0,18,1,0.0,1,1
0.0,-1,0,-1.0,0.0,1,0,19,1,0.0,1,1
0.0,-1,0,-1.0,0.0,1,0,20,1,0.0,1,1
0.0,-1,0,-1.0,0.0,1,0,21,1,0.0,1,1
0.0,-1,0,-1.0,0.0,1,0,22,1,0.0,1,1
0.0,-1,0,-1.0,0.0,1,0,23,1,0.0,1,1
0.0,-1,0,-1.0,0.0,2,0,0,1,0.0,1,1
0.0,-2,0,-2.0,0.0,2,0,1,1,0.0,1,1
0.0,-2,0,-2.0,0.0,2,0,2,1,0.0,1,1
0.0,-3,0,-3.0,0.0,2,0,3,1,0.0,1,1
0.0,-3,0,-3.0,0.0,2,0,4,1,0.0,1,1
0.0,-4,0,-4.0,0.0,2,0,5,1,0.0,1,1
0.0,-4,0,-4.0,0.0,2,0,6,1,0.0,1,2
0.0,-4,0,-4.0,0.0,2,0,7,1,0.0,1,2
70.295,-3,254,-2.657,76.889,2,14,8,1,93.572,1,1
242.967,-2,576,6.959,253.832,2,37,9,1,294.446,1,1
374.08,-1,710,15.144,388.991,2,49,10,1,449.54,1,1
444.807,0,766,20.333,462.193,2,54,11,1,539.248,1,1
460.23,0,778,21.648,478.183,2,55,12,1,559.911,1,1
420.26,0,756,20.116,436.764,2,51,13,1,511.313,1,1
320.697,0,674,15.597,333.876,2,43,14,1,391.728,1,1
168.512,0,485,8.262,177.389,2,28,15,1,214.335,1,1
0.0,-1,0,-1.0,0.0,2,0,16,1,0.0,1,1
0.0,-1,0,-1.0,0.0,2,0,17,1,0.0,1,1
0.0,-1,0,-1.0,0.0,2,0,18,1,0.0,1,1
0.0,-2,0,-2.0,0.0,2,0,19,1,0.0,1,2
0.0,-2,0,-2.0,0.0,2,0,20,1,0.0,1,2
0.0,-3,0,-3.0,0.0,2,0,21,1,0.0,1,2
0.0,-3,0,-3.0,0.0,2,0,22,1,0.0,1,2
0.0,-3,0,-3.0,0.0,2,0,23,1,0.0,1,2
0.0,-4,0,-4.0,0.0,3,0,0,1,0.0,1,2
0.0,-4,0,-4.0,0.0,3,0,1,1,0.0,1,2
0.0,-4,0,-4.0,0.0,3,0,2,1,0.0,1,2
0.0,-4,0,-4.0,0.0,3,0,3,1,0.0,1,2
0.0,-4,0,-4.0,0.0,3,0,4,1,0.0,1,2
0.0,-4,0,-4.0,0.0,3,0,5,1,0.0,1,2
0.0,-4,0,-4.0,0.0,3,0,6,1,0.0,1,2
0.0,-4,0,-4.0,0.0,3,0,7,1,0.0,1,2
71.196,-3,259,-2.606,77.81,3,14,8,1,94.835,1,1
241.605,-2,569,6.899,252.432,3,38,9,1,292.599,1,1
370.318,-1,700,14.953,385.103,3,49,10,1,444.571,1,1
431.364,0,759,25.554,448.263,3,54,11,1,535.76,1,0
445.845,0,771,27.22,463.269,3,55,12,1,556.668,1,0
411.558,1,731,20.721,427.754,3,54,13,1,501.816,1,1
312.343,0,638,15.12,325.261,3,47,14,1,380.138,1,1
161.072,0,426,7.739,169.763,3,32,15,1,202.764,1,1
0.0,0,0,0.0,0.0,3,0,16,1,0.0,1,0
0.0,0,0,0.0,0.0,3,0,17,1,0.0,1,0
0.0,0,0,0.0,0.0,3,0,18,1,0.0,1,0
0.0,0,0,0.0,0.0,3,0,19,1,0.0,1,1
0.0,0,0,0.0,0.0,3,0,20,1,0.0,1,1
0.0,0,0,0.0,0.0,3,0,21,1,0.0,1,1
0.0,0,0,0.0,0.0,3,0,22,1,0.0,1,1
0.0,0,0,0.0,0.0,3,0,23,1,0.0,1,1
0.0,0,0,0.0,0.0,4,0,0,1,0.0,1,1
0.0,0,0,0.0,0.0,4,0,1,1,0.0,1,1
0.0,0,0,0.0,0.0,4,0,2,1,0.0,1,1
0.0,0,0,0.0,0.0,4,0,3,1,0.0,1,1
0.0,0,0,0.0,0.0,4,0,4,1,0.0,1,1
0.0,-1,0,-1.0,0.0,4,0,5,1,0.0,1,1
0.0,-1,0,-1.0,0.0,4,0,6,1,0.0,1,1
0.0,-1,0,-1.0,0.0,4,0,7,1,0.0,1,1
0.0,0,0,-3.315,1.839,4,2,8,1,1.889,1,1
6.636,0,0,-2.897,11.955,4,13,9,1,12.302,1,1
74.128,0,0,0.078,80.805,4,83,10,1,84.186,1,1
30.813,0,0,-1.148,36.598,4,40,11,1,37.933,1,1
42.494,0,0,-1.055,48.512,4,53,12,1,50.302,1,1
60.9,0,0,-0.155,67.296,4,72,13,1,70.043,1,1
14.698,0,0,-1.956,20.171,4,22,14,1,20.836,1,1
17.41,0,0,-1.797,22.934,4,25,15,1,23.706,1,2
0.0,0,0,0.0,0.0,4,0,16,1,0.0,1,2
0.0,0,0,0.0,0.0,4,0,17,1,0.0,1,2
0.0,0,0,0.0,0.0,4,0,18,1,0.0,1,2
0.0,0,0,0.0,0.0,4,0,19,1,0.0,1,2
0.0,0,0,0.0,0.0,4,0,20,1,0.0,1,2
0.0,0,0,0.0,0.0,4,0,21,1,0.0,1,2
0.0,0,0,0.0,0.0,4,0,22,1,0.0,1,2
0.0,0,0,0.0,0.0,4,0,23,1,0.0,1,2
0.0,0,0,0.0,0.0,5,0,0,1,0.0,1,2
0.0,0,0,0.0,0.0,5,0,1,1,0.0,1,2
0.0,0,0,0.0,0.0,5,0,2,1,0.0,1,2
0.0,0,0,0.0,0.0,5,0,3,1,0.0,1,2
0.0,0,0,0.0,0.0,5,0,4,1,0.0,1,3
0.0,0,0,0.0,0.0,5,0,5,1,0.0,1,3
0.0,0,0,0.0,0.0,5,0,6,1,0.0,1,3
0.0,0,0,0.0,0.0,5,0,7,1,0.0,1,3
0.0,0,0,0.0,0.0,5,0,8,1,0.0,1,3
0.0,1,0,-1.231,2.737,5,3,9,1,2.836,1,3
39.591,1,0,0.081,45.551,5,50,10,1,47.457,1,3
13.689,1,0,-0.535,19.142,5,21,11,1,19.891,1,3
22.631,1,0,-0.374,28.256,5,31,12,1,29.383,1,3
25.173,2,0,0.759,30.848,5,34,13,1,32.231,1,3
17.171,2,0,0.522,22.69,5,25,14,1,23.684,1,3
0.0,2,0,-0.444,2.727,5,3,15,1,2.835,1,2
0.0,2,0,2.0,0.0,5,0,16,1,0.0,1,2
0.0,2,0,2.0,0.0,5,0,17,1,0.0,1,2
0.0,2,0,2.0,0.0,5,0,18,1,0.0,1,2
0.0,2,0,2.0,0.0,5,0,19,1,0.0,1,2
0.0,2,0,2.0,0.0,5,0,20,1,0.0,1,2
0.0,3,0,3.0,0.0,5,0,21,1,0.0,1,2
0.0,3,0,3.0,0.0,5,0,22,1,0.0,1,2
0.0,2,0,2.0,0.0,5,0,23,1,0.0,1,2
0.0,2,0,2.0,0.0,6,0,0,1,0.0,1,2
0.0,2,0,2.0,0.0,6,0,1,1,0.0,1,2
0.0,2,0,2.0,0.0,6,0,2,1,0.0,1,2
0.0,2,0,2.0,0.0,6,0,3,1,0.0,1,2
0.0,2,0,2.0,0.0,6,0,4,1,0.0,1,2
0.0,2,0,2.0,0.0,6,0,5,1,0.0,1,2
0.0,2,0,2.0,0.0,6,0,6,1,0.0,1,2
0.0,2,0,2.0,0.0,6,0,7,1,0.0,1,2
0.0,2,0,-0.635,0.909,6,1,8,1,0.944,1,2
1.15,2,0,-0.446,6.368,6,7,9,1,6.619,1,2
32.167,3,0,1.696,37.979,6,42,10,1,39.839,1,2
62.569,3,0,2.965,69.0,6,75,11,1,72.771,1,2
10.878,3,0,1.312,16.278,6,18,12,1,17.048,1,2
4.681,3,0,0.786,9.964,6,11,13,1,10.412,1,2
8.233,3,0,0.873,13.582,6,15,14,1,14.198,1,2
0.0,3,0,0.52,2.716,6,3,15,1,2.835,1,2
0.0,3,0,3.0,0.0,6,0,16,1,0.0,1,2
0.0,3,0,3.0,0.0,6,0,17,1,0.0,1,2
0.0,3,0,3.0,0.0,6,0,18,1,0.0,1,2
0.0,3,0,3.0,0.0,6,0,19,1,0.0,1,2
0.0,3,0,3.0,0.0,6,0,20,1,0.0,1,2
0.0,3,0,3.0,0.0,6,0,21,1,0.0,1,2
0.0,3,0,3.0,0.0,6,0,22,1,0.0,1,2
0.0,3,0,3.0,0.0,6,0,23,1,0.0,1,2
0.0,3,0,3.0,0.0,7,0,0,1,0.0,1,3
0.0,3,0,3.0,0.0,7,0,1,1,0.0,1,3
0.0,4,0,4.0,0.0,7,0,2,1,0.0,1,3
0.0,4,0,4.0,0.0,7,0,3,1,0.0,1,3
0.0,4,0,4.0,0.0,7,0,4,1,0.0,1,3
0.0,4,0,4.0,0.0,7,0,5,1,0.0,1,3
0.0,3,0,3.0,0.0,7,0,6,1,0.0,1,3
0.0,3,0,3.0,0.0,7,0,7,1,0.0,1,3
0.235,3,0,0.537,5.436,7,6,8,1,5.674,1,2
25.993,3,0,1.473,31.683,7,35,9,1,33.204,1,2
83.301,4,7,4.701,90.176,7,90,10,1,95.976,1,2
434.968,4,699,18.544,451.997,7,67,11,1,521.942,1,2
126.687,4,24,8.916,134.545,7,120,12,1,145.942,1,2
280.821,4,329,12.756,292.782,7,101,13,1,328.166,1,2
331.799,3,671,15.014,345.328,7,47,14,1,402.478,1,2
177.679,2,484,8.805,186.789,7,32,15,1,224.087,1,2
0.0,2,0,2.0,0.0,7,0,16,1,0.0,1,2
0.0,1,0,1.0,0.0,7,0,17,1,0.0,1,2
0.0,1,0,1.0,0.0,7,0,18,1,0.0,1,2
0.0,1,0,1.0,0.0,7,0,19,1,0.0,1,2
0.0,1,0,1.0,0.0,7,0,20,1,0.0,1,2
0.0,1,0,1.0,0.0,7,0,21,1,0.0,1,2
0.0,1,0,1.0,0.0,7,0,22,1,0.0,1,2
0.0,0,0,0.0,0.0,7,0,23,1,0.0,1,2
0.0,0,0,0.0,0.0,8,0,0,1,0.0,1,2
0.0,0,0,0.0,0.0,8,0,1,1,0.0,1,2
0.0,0,0,0.0,0.0,8,0,2,1,0.0,1,2
0.0,0,0,0.0,0.0,8,0,3,1,0.0,1,2
0.0,0,0,0.0,0.0,8,0,4,1,0.0,1,2
0.0,0,0,0.0,0.0,8,0,5,1,0.0,1,2
0.0,0,0,0.0,0.0,8,0,6,1,0.0,1,2
0.0,0,0,0.0,0.0,8,0,7,1,0.0,1,2
64.232,0,214,0.151,70.698,8,16,8,1,85.855,1,2
125.585,1,173,3.66,133.417,8,58,9,1,147.721,1,2
374.57,1,687,13.51,389.497,8,54,10,1,446.052,1,2
109.85,2,16,5.88,117.318,8,113,11,1,125.543,1,2
229.867,2,180,8.577,240.365,8,128,12,1,262.333,1,2
257.809,2,285,12.418,269.097,8,107,13,1,300.8,1,1
333.386,1,668,15.523,346.966,8,49,14,1,404.9,1,1
180.503,1,489,9.848,189.685,8,33,15,1,228.208,1,1
0.0,0,0,0.0,0.0,8,0,16,1,0.0,1,1
0.0,0,0,0.0,0.0,8,0,17,1,0.0,1,1
0.0,0,0,0.0,0.0,8,0,18,1,0.0,1,0
0.0,0,0,0.0,0.0,8,0,19,1,0.0,1,0
0.0,0,0,0.0,0.0,8,0,20,1,0.0,1,0
0.0,0,0,0.0,0.0,8,0,21,1,0.0,1,0
0.0,-1,0,-1.0,0.0,8,0,22,1,0.0,1,1
0.0,-1,0,-1.0,0.0,8,0,23,1,0.0,1,2
0.0,-1,0,-1.0,0.0,9,0,0,1,0.0,1,2
0.0,-2,0,-2.0,0.0,9,0,1,1,0.0,1,3
0.0,-3,0,-3.0,0.0,9,0,2,1,0.0,1,3
0.0,-4,0,-4.0,0.0,9,0,3,1,0.0,1,3
0.0,-4,0,-4.0,0.0,9,0,4,1,0.0,1,3
0.0,-4,0,-4.0,0.0,9,0,5,1,0.0,1,3
0.0,-5,0,-5.0,0.0,9,0,6,1,0.0,1,3
0.0,-5,0,-5.0,0.0,9,0,7,1,0.0,1,3
21.915,-5,0,-6.548,27.526,9,26,8,1,27.9,1,3
252.595,-4,559,2.466,263.733,9,43,9,1,298.813,1,3
397.059,-3,721,9.236,412.751,9,53,10,1,463.906,1,3
346.798,-2,445,9.007,360.81,9,94,11,1,397.695,1,3
322.826,-2,344,7.88,336.072,9,114,12,1,366.977,1,3
240.391,-1,223,6.063,251.183,9,113,13,1,272.387,1,3
356.533,-1,701,9.916,370.862,9,48,14,1,422.047,1,3
