"PVWatts: Por hora Datos de rendimiento FV"
"Ubicación solicitada:","victoria canada"
"Ubicación:","Lat., long.: 46.21, -63.5"
"Lat. (° N):","46.21"
"Long. (° O):","63.5"
"Altitud (m):","0"
"Tamaño del sistema en CC (kW):","4"
"Tipo de módulo:","Estándar"
"Tipo de campo:","Fijo (bastidor abierto)"
"Inclinación del campo (grados):","20"
"Acimut del campo (grados):","180"
"Pérdidas del sistema:","14.08"
"Eficiencia del inversor:","96"
"Relación de tamaño de CC a CA:","1.2"
"Costo promedio de la electricidad comprada a la empresa de servicio público ($/kWh):","No hay datos disponibles de servicio público"
"Factor de Capacidad (%)","13.2"	

"Mes","Día","Hora","Irradiación en haz (W/m^2)","Irradiación difusa (W/m^2)","Temperatura ambiente (C)","Velocidad del viento (m/s)","Irradiación en el plano de campo (W/m^2)","Temperatura de celdas (C)","Producción de CC del campo (W)","Producción de CA del sistema (W)"
"1","1","0","0","0","-8","4","0","-8","0","0"
"1","1","1","0","0","-8","3","0","-8","0","0"
"1","1","2","0","0","-8","3","0","-8","0","0"
"1","1","3","0","0","-8","3","0","-8","0","0"
"1","1","4","0","0","-7","3","0","-7","0","0"
"1","1","5","0","0","-7","2","0","-7","0","0"
"1","1","6","0","0","-6","2","0","-6","0","0"
"1","1","7","0","0","-5","2","0","-5","0","0"
"1","1","8","0","15","-4","2","14.212","-5.909","55.939","34.511"
"1","1","9","0","59","-4","2","58.768","-4.558","230.033","205.243"
"1","1","10","0","101","-4","3","102.429","-3.21","398.703","370.386"
"1","1","11","0","45","-3","3","42.689","-3.603","166.437","142.908"
"1","1","12","0","107","-3","4","106.077","-2.251","411.258","382.668"
"1","1","13","8","119","-3","4","126.084","-1.658","487.141","456.87"
"1","1","14","291","90","-3","4","272.166","1.666","1010.626","967.295"
"1","1","15","243","56","-3","4","172.73","-0.238","624.313","590.866"
"1","1","16","0","0","-4","4","0","-4","0","0"
"1","1","17","0","0","-5","4","0","-5","0","0"
"1","1","18","0","0","-6","5","0","-6","0","0"
"1","1","19","0","0","-7","5","0","-7","0","0"
"1","1","20","0","0","-8","5","0","-8","0","0"
"1","1","21","0","0","-8","5","0","-8","0","0"
"1","1","22","0","0","-9","5","0","-9","0","0"
"1","1","23","0","0","-9","5","0","-9","0","0"
"1","2","0","0","0","-9","5","0","-9","0","0"
"1","2","1","0","0","-10","5","0","-10","0","0"
"1","2","2","0","0","-10","5","0","-10","0","0"
"1","2","3","0","0","-11","5","0","-11","0","0"
"1","2","4","0","0","-11","5","0","-11","0","0"
"1","2","5","0","0","-11","5","0","-11","0","0"
"1","2","6","0","0","-12","5","0","-12","0","0"
"1","2","7","0","0","-12","5","0","-12","0","0"
"1","2","8","0","20","-12","5","19.063","-13.127","77.258","55.433"
"1","2","9","45","72","-12","5","98.998","-11.516","392.441","364.26"
"1","2","10","42","114","-12","5","148.591","-10.402","592.294","559.603"
"1","2","11","50","138","-12","5","182.653","-9.646","727.273","691.328"
"1","2","12","31","141","-12","5","173.788","-9.764","693.359","658.248"
"1","2","13","0","86","-11","5","83.918","-10.555","336.606","309.618"
"1","2","14","0","63","-11","5","60.863","-11.162","244.726","219.638"
"1","2","15","0","50","-11","5","51.007","-11.396","205.289","180.994"
"1","2","16","0","0","-10","5","0","-10","0","0"
"1","2","17","0","0","-10","5","0","-10","0","0"
"1","2","18","0","0","-9","5","0","-9","0","0"
"1","2","19","0","0","-9","5","0","-9","0","0"
"1","2","20","0","0","-8","5","0","-8","0","0"
"1","2","21","0","0","-8","5","0","-8","0","0"
"1","2","22","0","0","-8","5","0","-8","0","0"
"1","2","23","0","0","-8","5","0","-8","0","0"
"1","3","0","0","0","-8","4","0","-8","0","0"
"1","3","1","0","0","-8","4","0","-8","0","0"
"1","3","2","0","0","-8","4","0","-8","0","0"
"1","3","3","0","0","-8","4","0","-8","0","0"
"1","3","4","0","0","-9","4","0","-9","0","0"
"1","3","5","0","0","-9","4","0","-9","0","0"
"1","3","6","0","0","-9","4","0","-9","0","0"
"1","3","7","0","0","-9","4","0","-9","0","0"
"1","3","8","0","9","-9","3","8.515","-10.812","34.192","13.164"
"1","3","9","0","43","-9","3","40.808","-9.951","163.289","139.821"
"1","3","10","0","81","-9","3","79.573","-8.851","316.988","290.412"
"1","3","11","81","142","-8","3","207.49","-4.459","807.596","769.633"
"1","3","12","64","147","-8","3","202.969","-4.194","790.269","752.746"
"1","3","13","143","136","-8","3","246.436","-3.104","950.421","908.722"
"1","3","14","17","95","-8","3","106.208","-6.546","417.513","388.786"
"1","3","15","0","47","-8","3","47.118","-8.489","187.424","163.482"
"1","3","16","0","0","-8","3","0","-8","0","0"
"1","3","17","0","0","-8","3","0","-8","0","0"
"1","3","18","0","0","-8","3","0","-8","0","0"
"1","3","19","0","0","-8","3","0","-8","0","0"
"1","3","20","0","0","-8","3","0","-8","0","0"
"1","3","21","0","0","-8","3","0","-8","0","0"
"1","3","22","0","0","-8","3","0","-8","0","0"
"1","3","23","0","0","-8","3","0","-8","0","0"
"1","4","0","0","0","-8","3","0","-8","0","0"
"1","4","1","0","0","-9","3","0","-9","0","0"
"1","4","2","0","0","-9","3","0","-9","0","0"
"1","4","3","0","0","-9","3","0","-9","0","0"
"1","4","4","0","0","-10","3","0","-10","0","0"
"1","4","5","0","0","-10","3","0","-10","0","0"
"1","4","6","0","0","-10","3","0","-10","0","0"
"1","4","7","0","0","-11","3","0","-11","0","0"
