"Mes","Día","Hora","Irradiación en haz (W/m^2)","Irradiación difusa (W/m^2)","Temperatura ambiente (C)","Velocidad del viento (m/s)","Irradiación en el plano de campo (W/m^2)","Temperatura de celdas (C)","Producción de CC del campo (W)","Producción de CA del sistema (W)"
"1","1","0","0","0","-5","2","0","-5","0","0"
"1","1","1","0","0","-5","2","0","-5","0","0"
"1","1","2","0","0","-5","1","0","-5","0","0"
"1","1","3","0","0","-5","1","0","-5","0","0"
"1","1","4","0","0","-5","1","0","-5","0","0"
"1","1","5","0","0","-5","1","0","-5","0","0"
"1","1","6","0","0","-5","1","0","-5","0","0"
"1","1","7","0","0","-5","1","0","-5","0","0"
"1","1","8","260","14","-4","1","95.358","-3.515","157.176","143.915"
"1","1","9","93","56","-3","1","106.275","-1.563","198.523","184.383"
"1","1","10","705","51","-2","1","448.915","10.996","791.491","761.229"
"1","1","11","477","85","-1","1","402.009","12.286","717.441","689.549"
"1","1","12","763","59","0","1","554.51","17.784","964.126","927.942"
"1","1","13","723","57","0","1","498.146","16.806","864.222","831.532"
"1","1","14","167","77","0","1","179.45","6.303","326.315","309.253"
"1","1","15","411","32","-1","1","195.619","4.023","332.365","315.157"
"1","1","16","0","0","-1","1","0","-1","0","0"
"1","1","17","0","0","-1","1","0","-1","0","0"
"1","1","18","0","0","-1","1","0","-1","0","0"
"1","1","19","0","0","-1","1","0","-1","0","0"
"1","1","20","0","0","-1","1","0","-1","0","0"
"1","1","21","0","0","-1","1","0","-1","0","0"
"1","1","22","0","0","-1","1","0","-1","0","0"
"1","1","23","0","0","-1","1","0","-1","0","0"
"1","2","0","0","0","-1","1","0","-1","0","0"
"1","2","1","0","0","-2","1","0","-2","0","0"
"1","2","2","0","0","-2","1","0","-2","0","0"
"1","2","3","0","0","-3","1","0","-3","0","0"
"1","2","4","0","0","-3","1","0","-3","0","0"
"1","2","5","0","0","-4","1","0","-4","0","0"
"1","2","6","0","0","-4","2","0","-4","0","0"
"1","2","7","0","0","-4","2","0","-4","0","0"
"1","2","8","254","14","-3","1","93.572","-2.606","153.746","140.558"
"1","2","9","576","37","-2","1","294.446","5.857","510.087","488.291"
"1","2","10","710","49","-1","1","449.54","12.984","785.532","755.465"
"1","2","11","766","54","0","1","539.248","17.55","936.218","901.029"
"1","2","12","778","55","0","1","559.911","18.633","969.71","933.325"
"1","2","13","756","51","0","1","511.313","17.24","885.069","851.666"
"1","2","14","674","43","0","1","391.728","13.251","674.802","648.229"
"1","2","15","485","28","0","1","214.335","6.856","356.952","339.144"
"1","2","16","0","0","-1","1","0","-1","0","0"
"1","2","17","0","0","-1","1","0","-1","0","0"
"1","2","18","0","0","-1","1","0","-1","0","0"
"1","2","19","0","0","-2","2","0","-2","0","0"
"1","2","20","0","0","-2","2","0","-2","0","0"
"1","2","21","0","0","-3","2","0","-3","0","0"
"1","2","22","0","0","-3","2","0","-3","0","0"
"1","2","23","0","0","-3","2","0","-3","0","0"
"1","3","0","0","0","-4","2","0","-4","0","0"
"1","3","1","0","0","-4","2","0","-4","0","0"
"1","3","2","0","0","-4","2","0","-4","0","0"
"1","3","3","0","0","-4","2","0","-4","0","0"
"1","3","4","0","0","-4","2","0","-4","0","0"
"1","3","5","0","0","-4","2","0","-4","0","0"
"1","3","6","0","0","-4","2","0","-4","0","0"
"1","3","7","0","0","-4","2","0","-4","0","0"
"1","3","8","259","14","-3","1","94.835","-2.561","155.591","142.364"
"1","3","9","569","38","-2","1","292.599","5.803","507.261","485.542"
"1","3","10","700","49","-1","1","444.571","12.816","777.593","747.784"
"1","3","11","759","54","0","0","535.76","22.464","909.58","875.327"
"1","3","12","771","55","0","0","556.668","23.856","941.341","905.97"
"1","3","13","731","54","1","1","501.816","17.885","866.687","833.914"
"1","3","14","638","47","0","1","380.138","12.835","657.199","631.161"
"1","3","15","426","32","0","1","202.764","6.406","341.493","324.063"
"1","3","16","0","0","0","0","0","0","0","0"
"1","3","17","0","0","0","0","0","0","0","0"
"1","3","18","0","0","0","0","0","0","0","0"
"1","3","19","0","0","0","1","0","0","0","0"
"1","3","20","0","0","0","1","0","0","0","0"
"1","3","21","0","0","0","1","0","0","0","0"
"1","3","22","0","0","0","1","0","0","0","0"
"1","3","23","0","0","0","1","0","0","0","0"
"1","4","0","0","0","0","1","0","0","0","0"
"1","4","1","0","0","0","1","0","0","0","0"
"1","4","2","0","0","0","1","0","0","0","0"
"1","4","3","0","0","0","1","0","0","0","0"
"1","4","4","0","0","0","1","0","0","0","0"
"1","4","5","0","0","-1","1","0","-1","0","0"
"1","4","6","0","0","-1","1","0","-1","0","0"
"1","4","7","0","0","-1","1","0","-1","0","0"
"1","4","8","0","2","0","1","1.889","-2.813","3.671","0"
"1","4","9","0","13","0","1","12.302","-2.439","23.866","13.227"
"1","4","10","0","83","0","1","84.186","0.154","161.558","148.206"
"1","4","11","0","40","0","1","37.933","-1.026","73.159","61.589"
"1","4","12","0","53","0","1","50.302","-0.879","96.952","84.917"
"1","4","13","0","72","0","1","70.043","-0.107","134.565","121.773"
"1","4","14","0","22","0","1","20.836","-1.715","40.301","29.357"
"1","4","15","0","25","0","2","23.706","-1.52","45.814","34.767"
"1","4","16","0","0","0","2","0","0","0","0"
"1","4","17","0","0","0","2","0","0","0","0"
"1","4","18","0","0","0","2","0","0","0","0"
"1","4","19","0","0","0","2","0","0","0","0"
"1","4","20","0","0","0","2","0","0","0","0"
"1","4","21","0","0","0","2","0","0","0","0"
"1","4","22","0","0","0","2","0","0","0","0"
"1","4","23","0","0","0","2","0","0","0","0"
"1","5","0","0","0","0","2","0","0","0","0"
"1","5","1","0","0","0","2","0","0","0","0"
"1","5","2","0","0","0","2","0","0","0","0"
"1","5","3","0","0","0","2","0","0","0","0"
"1","5","4","0","0","0","3","0","0","0","0"
"1","5","5","0","0","0","3","0","0","0","0"
"1","5","6","0","0","0","3","0","0","0","0"
"1","5","7","0","0","0","3","0","0","0","0"
"1","5","8","0","0","0","3","0","0","0","0"
"1","5","9","0","3","1","3","2.836","-0.89","5.466","0"
"1","5","10","0","50","1","3","47.457","0.25","91.036","79.118"
"1","5","11","0","21","1","3","19.891","-0.319","38.249","27.343"
"1","5","12","0","31","1","3","29.383","-0.159","56.461","45.213"
"1","5","13","0","34","2","3","32.231","0.95","61.646","50.298"
"1","5","14","0","25","2","3","23.684","0.742","45.338","34.3"
"1","5","15","0","3","2","2","2.835","-0.087","5.446","0"
"1","5","16","0","0","2","2","0","2","0","0"
"1","5","17","0","0","2","2","0","2","0","0"
"1","5","18","0","0","2","2","0","2","0","0"
"1","5","19","0","0","2","2","0","2","0","0"
"1","5","20","0","0","2","2","0","2","0","0"
"1","5","21","0","0","3","2","0","3","0","0"
"1","5","22","0","0","3","2","0","3","0","0"
"1","5","23","0","0","2","2","0","2","0","0"
"1","6","0","0","0","2","2","0","2","0","0"
"1","6","1","0","0","2","2","0","2","0","0"
"1","6","2","0","0","2","2","0","2","0","0"
"1","6","3","0","0","2","2","0","2","0","0"
"1","6","4","0","0","2","2","0","2","0","0"
"1","6","5","0","0","2","2","0","2","0","0"
"1","6","6","0","0","2","2","0","2","0","0"
"1","6","7","0","0","2","2","0","2","0","0"
"1","6","8","0","1","2","2","0.944","-0.233","1.815","0"
"1","6","9","0","7","2","2","6.619","-0.067","12.715","2.281"
"1","6","10","0","42","3","2","39.839","1.923","75.885","64.263"
"1","6","11","0","75","3","2","72.771","2.997","137.981","125.119"
"1","6","12","0","18","3","2","17.048","1.525","32.527","21.728"
"1","6","13","0","11","3","2","10.412","1.119","19.9","9.335"
"1","6","14","0","15","3","2","14.198","1.202","27.127","16.428"
"1","6","15","0","3","3","2","2.835","0.89","5.424","0"
"1","6","16","0","0","3","2","0","3","0","0"
"1","6","17","0","0","3","2","0","3","0","0"
"1","6","18","0","0","3","2","0","3","0","0"
"1","6","19","0","0","3","2","0","3","0","0"
"1","6","20","0","0","3","2","0","3","0","0"
"1","6","21","0","0","3","2","0","3","0","0"
"1","6","22","0","0","3","2","0","3","0","0"
"1","6","23","0","0","3","2","0","3","0","0"
"1","7","0","0","0","3","3","0","3","0","0"
"1","7","1","0","0","3","3","0","3","0","0"
"1","7","2","0","0","4","3","0","4","0","0"
"1","7","3","0","0","4","3","0","4","0","0"
"1","7","4","0","0","4","3","0","4","0","0"
"1","7","5","0","0","4","3","0","4","0","0"
