date,HouseType,RUs,EVs,HVAC,Isolation,Holiday,Seed
260.0,6.0,1.0,0.0,1.0,1.0,0.0,23.917
8.0,3.0,0.0,0.0,0.0,1.0,0.0,10.46
12.0,5.0,0.0,0.0,0.0,0.0,0.0,31.290000000000003
214.0,2.0,1.0,0.0,0.0,1.0,1.0,11.53
172.0,6.0,0.0,85.0,1.0,0.0,1.0,72.86000000000001
68.0,2.0,1.0,0.0,0.0,1.0,0.0,31.18
20.0,4.0,1.0,0.0,0.0,0.0,0.0,33.76
361.0,2.0,2.0,0.0,1.0,1.0,1.0,26.52
135.0,4.0,1.0,0.0,0.0,0.0,0.0,34.5
323.0,0.0,0.0,0.0,0.0,0.0,1.0,4.18
269.0,2.0,1.0,0.0,0.0,1.0,1.0,48.93000000000001
102.0,2.0,1.0,0.0,0.0,1.0,0.0,17.65
98.0,1.0,0.0,0.0,0.0,1.0,0.0,7.459999999999999
17.0,6.0,1.0,0.0,1.0,1.0,0.0,30.872
124.0,3.0,0.0,0.0,0.0,1.0,0.0,11.44
359.0,3.0,0.0,0.0,1.0,1.0,1.0,5.63
309.0,3.0,0.0,0.0,1.0,1.0,0.0,48.16
179.0,2.0,1.0,0.0,0.0,1.0,0.0,33.28
151.0,4.0,1.0,0.0,0.0,0.0,0.0,13.84
239.0,5.0,0.0,0.0,0.0,1.0,1.0,18.14
192.0,6.0,1.0,0.0,1.0,1.0,0.0,18.563
205.0,6.0,1.0,0.0,0.0,1.0,1.0,31.35
148.0,3.0,0.0,0.0,1.0,1.0,0.0,6.35
276.0,6.0,0.0,85.0,1.0,0.0,1.0,36.6
69.0,5.0,1.0,0.0,0.0,1.0,0.0,26.89
249.0,1.0,0.0,0.0,1.0,1.0,1.0,11.88
101.0,2.0,0.0,0.0,1.0,1.0,0.0,17.839999999999996
360.0,1.0,0.0,0.0,1.0,1.0,1.0,14.07
217.0,2.0,1.0,0.0,0.0,1.0,0.0,24.49
299.0,6.0,1.0,0.0,0.0,1.0,0.0,107.68
352.0,3.0,0.0,0.0,0.0,1.0,0.0,11.43
365.0,4.0,0.0,0.0,1.0,1.0,1.0,13.25
256.0,4.0,1.0,0.0,0.0,0.0,1.0,16.939999999999998
7.0,4.0,0.0,0.0,1.0,1.0,1.0,11.79
23.0,2.0,1.0,0.0,0.0,1.0,1.0,21.17
166.0,5.0,0.0,0.0,0.0,1.0,0.0,14.28
331.0,6.0,1.0,0.0,0.0,1.0,0.0,64.36000000000001
206.0,2.0,1.0,0.0,0.0,1.0,1.0,47.09
195.0,4.0,0.0,0.0,0.0,1.0,0.0,23.6
314.0,4.0,1.0,0.0,0.0,0.0,0.0,29.97
96.0,6.0,1.0,0.0,1.0,1.0,1.0,19.978
349.0,5.0,0.0,0.0,1.0,1.0,1.0,29.26
110.0,4.0,0.0,0.0,1.0,1.0,0.0,8.74
75.0,2.0,1.0,0.0,0.0,1.0,0.0,12.01
73.0,3.0,0.0,0.0,1.0,1.0,0.0,23.13
69.0,6.0,0.0,85.0,1.0,0.0,1.0,42.69
117.0,5.0,0.0,0.0,1.0,1.0,1.0,39.64
196.0,2.0,1.0,0.0,0.0,1.0,1.0,44.370000000000005
65.0,3.0,0.0,0.0,1.0,1.0,0.0,11.920000000000002
13.0,2.0,1.0,0.0,0.0,1.0,1.0,17.0
269.0,3.0,0.0,0.0,1.0,1.0,0.0,10.260000000000002
265.0,3.0,0.0,0.0,1.0,1.0,1.0,1.28
316.0,3.0,0.0,0.0,1.0,1.0,0.0,6.279999999999999
25.0,4.0,0.0,0.0,1.0,1.0,0.0,14.29
357.0,1.0,0.0,0.0,1.0,1.0,1.0,12.04
282.0,4.0,0.0,0.0,1.0,1.0,1.0,8.96
172.0,5.0,1.0,0.0,0.0,1.0,0.0,11.490000000000002
180.0,5.0,1.0,0.0,0.0,1.0,0.0,18.08
261.0,4.0,0.0,0.0,0.0,1.0,0.0,10.94
235.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
337.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
311.0,5.0,1.0,0.0,0.0,1.0,1.0,27.85
