Ambient Temperature (C),Beam Irradiance (W/m^2),Cell Temperature (C),Diffuse Irradiance (W/m^2),Plane of Array Irradiance (W/m^2),Size,Wind Speed (m/s)
18.0,702.0,33.84,79.0,374.164,2.0,0.0
4.0,0.0,4.0,0.0,0.0,5.0,1.0
2.0,0.0,2.0,0.0,0.0,3.0,2.0
6.0,0.0,3.755,24.0,23.401,3.0,1.0
11.0,0.0,11.0,0.0,0.0,4.0,1.0
5.0,0.0,5.703,11.0,10.407,5.0,1.0
3.0,0.0,3.0,0.0,0.0,1.0,2.0
4.0,0.0,4.0,0.0,0.0,1.0,3.0
8.0,0.0,7.256,64.0,60.785,4.0,1.0
19.0,614.0,32.855,87.0,333.65,5.0,0.0
14.0,647.0,33.053,103.0,488.752,5.0,0.0
8.0,225.0,30.861,250.0,404.708,1.0,0.0
5.0,0.0,5.0,0.0,0.0,2.0,2.0
7.0,0.0,7.0,0.0,0.0,2.0,0.0
6.0,6.0,4.985,51.0,54.487,3.0,1.0
14.0,0.0,9.952,11.0,10.417,3.0,0.0
4.0,0.0,1.718,11.0,10.407,1.0,2.0
17.0,0.0,17.0,0.0,0.0,4.0,1.0
2.0,0.0,2.0,0.0,0.0,3.0,2.0
1.0,0.0,1.0,0.0,0.0,5.0,2.0
8.0,0.0,8.0,0.0,0.0,2.0,0.0
8.0,114.0,23.141,316.0,422.439,1.0,1.0
16.0,0.0,16.0,0.0,0.0,3.0,1.0
14.0,0.0,14.0,0.0,0.0,4.0,1.0
20.0,773.0,46.876,112.0,612.869,4.0,0.0
7.0,361.0,23.118,146.0,417.597,5.0,1.0
5.0,0.0,2.548,22.0,20.854,4.0,1.0
6.0,0.0,6.0,0.0,0.0,1.0,1.0
4.0,609.0,11.251,62.0,259.703,5.0,1.0
8.0,92.0,15.947,207.0,281.791,2.0,1.0
23.0,4.0,30.034,186.0,182.721,4.0,0.0
5.0,0.0,2.299,15.0,14.198,5.0,1.0
9.0,46.0,22.261,301.0,347.271,1.0,1.0
8.0,192.0,7.409,24.0,25.342,3.0,1.0
6.0,0.0,6.0,0.0,0.0,5.0,1.0
7.0,0.0,7.0,0.0,0.0,1.0,1.0
7.0,69.0,15.835,197.0,243.026,2.0,1.0
0.0,0.0,5.961,91.0,91.376,3.0,0.0
11.0,0.0,11.0,0.0,0.0,2.0,0.0
10.0,258.0,40.997,377.0,643.966,4.0,0.0
-5.0,0.0,-5.0,0.0,0.0,5.0,1.0
4.0,0.0,4.0,0.0,0.0,1.0,1.0
11.0,0.0,11.0,0.0,0.0,1.0,1.0
5.0,817.0,34.617,77.0,647.526,2.0,0.0
17.0,890.0,56.066,84.0,861.509,5.0,0.0
-1.0,0.0,-1.0,0.0,0.0,2.0,1.0
11.0,129.0,32.134,429.0,573.172,1.0,1.0
2.0,0.0,2.0,0.0,0.0,2.0,3.0
8.0,0.0,8.0,0.0,0.0,3.0,2.0
12.0,0.0,10.083,23.0,21.786,5.0,1.0
2.0,0.0,2.0,0.0,0.0,5.0,2.0
2.0,0.0,2.0,0.0,0.0,1.0,1.0
13.0,85.0,11.886,55.0,49.042,2.0,1.0
5.0,0.0,2.853,4.0,3.782,5.0,3.0
5.0,0.0,3.956,45.0,42.689,5.0,2.0
8.0,0.0,8.0,0.0,0.0,3.0,0.0
4.0,0.0,4.0,0.0,0.0,2.0,3.0
17.0,152.0,42.353,405.0,556.648,5.0,0.0
15.0,0.0,15.0,0.0,0.0,4.0,0.0
21.0,189.0,47.3,375.0,570.21,2.0,0.0
10.0,0.0,10.0,0.0,0.0,1.0,1.0
-1.0,0.0,-1.0,0.0,0.0,4.0,2.0
13.0,0.0,13.0,0.0,0.0,5.0,1.0
12.0,0.0,12.0,0.0,0.0,5.0,0.0
10.0,127.0,14.947,122.0,220.838,5.0,2.0
11.0,87.0,10.386,66.0,61.483,2.0,1.0
-5.0,0.0,-5.0,0.0,0.0,1.0,3.0
16.0,0.0,21.354,98.0,93.222,4.0,0.0
2.0,0.0,2.0,0.0,0.0,3.0,3.0
5.0,0.0,5.0,0.0,0.0,4.0,1.0
8.0,0.0,4.074,16.0,15.167,1.0,0.0
19.0,798.0,51.374,110.0,743.885,5.0,0.0
10.0,895.0,48.949,104.0,869.163,3.0,0.0
3.0,0.0,1.072,13.0,12.316,4.0,1.0
8.0,250.0,16.77,127.0,222.235,3.0,0.0
4.0,0.0,0.96,7.0,6.62,2.0,1.0
13.0,0.0,11.233,32.0,30.367,5.0,1.0
4.0,0.0,4.0,0.0,0.0,4.0,1.0
21.0,632.0,41.499,91.0,397.176,4.0,0.0
12.0,569.0,19.521,43.0,220.479,1.0,0.0
20.0,0.0,20.0,0.0,0.0,2.0,0.0
5.0,0.0,5.0,0.0,0.0,1.0,3.0
16.0,0.0,16.0,0.0,0.0,5.0,0.0
9.0,238.0,25.68,217.0,436.12,2.0,1.0
9.0,144.0,33.833,359.0,517.178,2.0,0.0
